30;0;馬爾杜克卡片;384;10;1;1;1;100;37001;
30;1;馬爾杜克卡片;384;10;2;2;1;200;37002;
30;2;馬爾杜克卡片;384;10;3;3;1;300;37003;
30;3;馬爾杜克卡片;385;10;4;4;1;400;37004;
30;4;馬爾杜克卡片;385;10;5;4;1;400;37005;
30;5;馬爾杜克卡片;385;10;6;4;1;400;37006;
30;6;馬爾杜克卡片;385;10;7;4;1;400;37007;
30;7;馬爾杜克卡片;385;10;8;4;1;400;37008;
30;8;馬爾杜克卡片;385;10;9;4;1;400;37009;
30;9;馬爾杜克卡片;385;10;10;4;1;400;37010;
30;10;血之常春藤卡片;384;35;1;1;1;100;38001;
30;11;血之常春藤卡片;384;35;2;2;1;200;38002;
30;12;血之常春藤卡片;384;35;3;3;1;300;38003;
30;13;血之常春藤卡片;385;35;4;4;1;400;38004;
30;14;血之常春藤卡片;385;35;5;4;1;400;38005;
30;15;血之常春藤卡片;385;35;6;4;1;400;38006;
30;16;血之常春藤卡片;385;35;7;4;1;400;38007;
30;17;血之常春藤卡片;385;35;8;4;1;400;38008;
30;18;血之常春藤卡片;385;35;9;4;1;400;38009;
30;19;血之常春藤卡片;385;35;10;4;1;400;38010;
30;20;炎魔卡片;385;34;1;5;1;800;36001;
30;21;炎魔卡片;385;34;2;5;1;800;36002;
30;22;波利卡片;384;8;1;1;1;100;20001;
30;23;波利卡片;384;8;2;2;1;200;20002;
30;24;波利卡片;384;8;3;3;1;300;20003;
30;25;波利卡片;385;8;4;4;1;400;20004;
30;26;波利卡片;385;8;5;4;1;400;20005;
30;27;波利卡片;385;8;6;4;1;400;20006;
30;28;蘑菇卡片;384;13;1;1;1;100;21001;
30;29;蘑菇卡片;384;13;2;2;1;200;21002;
30;30;蘑菇卡片;384;13;3;3;1;300;21003;
30;31;蘑菇卡片;385;13;4;4;1;400;21004;
30;32;蘑菇卡片;385;13;5;4;1;400;21005;
30;33;蘑菇卡片;385;13;6;4;1;400;21006;
30;34;野狼卡片;384;21;1;1;1;100;22001;
30;35;野狼卡片;384;21;2;2;1;200;22002;
30;36;野狼卡片;384;21;3;3;1;300;22003;
30;37;野狼卡片;385;21;4;4;1;400;22004;
30;38;野狼卡片;385;21;5;4;1;400;22005;
30;39;野狼卡片;385;21;6;4;1;400;22006;
30;40;大腳熊卡片;384;17;1;1;1;100;23001;
30;41;大腳熊卡片;384;17;2;2;1;200;23002;
30;42;大腳熊卡片;384;17;3;3;1;300;23003;
30;43;大腳熊卡片;385;17;4;4;1;400;23004;
30;44;大腳熊卡片;385;17;5;4;1;400;23005;
30;45;大腳熊卡片;385;17;6;4;1;400;23006;
30;46;月兔卡片;384;14;1;1;1;100;24001;
30;47;月兔卡片;384;14;2;2;1;200;24002;
30;48;月兔卡片;384;14;3;3;1;300;24003;
30;49;月兔卡片;385;14;4;4;1;400;24004;
30;50;月兔卡片;385;14;5;4;1;400;24005;
30;51;月兔卡片;385;14;6;4;1;400;24006;
30;52;青蛇卡片;384;22;1;1;1;100;25001;
30;53;青蛇卡片;384;22;2;2;1;200;25002;
30;54;青蛇卡片;384;22;3;3;1;300;25003;
30;55;青蛇卡片;385;22;4;4;1;400;25004;
30;56;青蛇卡片;385;22;5;4;1;400;25005;
30;57;青蛇卡片;385;22;6;4;1;400;25006;
30;58;天使波利卡片;384;7;1;1;1;100;26001;
30;59;天使波利卡片;384;7;2;2;1;200;26002;
30;60;天使波利卡片;384;7;3;3;1;300;26003;
30;61;天使波利卡片;385;7;4;4;1;400;26004;
30;62;天使波利卡片;385;7;5;4;1;400;26005;
30;63;天使波利卡片;385;7;6;4;1;400;26006;
30;64;迷你惡魔卡片;384;18;1;1;1;100;27001;
30;65;迷你惡魔卡片;384;18;2;2;1;200;27002;
30;66;迷你惡魔卡片;384;18;3;3;1;300;27003;
30;67;迷你惡魔卡片;385;18;4;4;1;400;27004;
30;68;迷你惡魔卡片;385;18;5;4;1;400;27005;
30;69;迷你惡魔卡片;385;18;6;4;1;400;27006;
31;0;睡精靈卡片;384;31;1;2;1;200;28001;
31;1;睡精靈卡片;384;31;2;3;1;300;28002;
31;2;睡精靈卡片;385;31;3;4;1;400;28003;
31;3;邪惡向日葵卡片;384;11;1;2;1;200;29001;
31;4;邪惡向日葵卡片;384;11;2;3;1;300;29002;
31;5;邪惡向日葵卡片;385;11;3;4;1;400;29003;
31;6;波利王卡片;384;6;1;2;1;200;30001;
31;7;波利王卡片;384;6;2;3;1;300;30002;
31;8;波利王卡片;385;6;3;4;1;400;30003;
31;9;巨獸人卡片;384;3;1;2;1;200;31001;
31;10;巨獸人卡片;384;3;2;3;1;300;31002;
31;11;巨獸人卡片;385;3;3;4;1;400;31003;
31;12;獸人戰士卡片;384;5;1;2;1;200;32001;
31;13;獸人戰士卡片;384;5;2;3;1;300;32002;
31;14;獸人戰士卡片;385;5;3;4;1;400;32003;
31;15;蒼蠅卡片;384;23;1;2;1;200;33001;
31;16;蒼蠅卡片;384;23;2;3;1;300;33002;
31;17;蒼蠅卡片;385;23;3;4;1;400;33003;
31;18;瘋兔卡片;384;12;1;2;1;200;34001;
31;19;瘋兔卡片;384;12;2;3;1;300;34002;
31;20;瘋兔卡片;385;12;3;4;1;400;34003;
31;21;小惡魔卡片;384;19;1;2;1;200;35001;
31;22;小惡魔卡片;384;19;2;3;1;300;35002;
31;23;小惡魔卡片;385;19;3;4;1;400;35003;
32;0;迪塔爾泰武勒斯卡片;385;1;1;5;1;800;10001;
32;1;迪塔爾泰武勒斯卡片;385;1;2;5;1;800;10002;
32;2;巨木魔像卡片;384;24;1;1;1;100;13001;
32;3;巨木魔像卡片;384;24;2;2;1;200;13002;
32;4;巨木魔像卡片;384;24;3;3;1;300;13003;
32;5;巨木魔像卡片;385;24;4;4;1;400;13004;
32;6;巨木魔像卡片;385;24;5;4;1;400;13005;
32;7;巨木魔像卡片;385;24;6;4;1;400;13006;
32;8;綠洲摩卡卡片;384;28;1;1;1;100;39001;
32;9;綠洲摩卡卡片;384;28;2;2;1;200;39002;
32;10;綠洲摩卡卡片;384;28;3;3;1;300;39003;
32;11;綠洲摩卡卡片;385;28;4;4;1;400;39004;
32;12;綠洲摩卡卡片;385;28;5;4;1;400;39005;
33;0;巴風特卡片;384;0;1;1;1;100;12001;
33;1;巴風特卡片;384;0;2;2;1;200;12002;
33;2;巴風特卡片;384;0;3;3;1;300;12003;
33;3;巴風特卡片;385;0;4;4;1;400;12004;
33;4;巴風特卡片;385;0;5;4;1;400;12005;
33;5;巴風特卡片;385;0;6;4;1;400;12006;
33;6;巴風特卡片;385;0;7;4;1;400;12007;
33;7;沙漠之狼卡片;385;25;1;5;1;800;14001;
33;8;沙漠之狼卡片;385;25;2;5;1;800;14002;
34;0;哥布林卡片;384;2;20;1;1;100;01020;
34;1;哥布林卡片;384;2;40;2;1;200;01040;
34;2;哥布林卡片;384;2;60;3;1;300;01060;
34;3;哥布林卡片;385;2;80;4;1;400;01080;
34;4;哥布林卡片;385;2;100;4;1;400;01100;
34;5;哥布林卡片;385;2;120;4;1;400;01120;
34;6;哥布林卡片;385;2;180;4;1;400;01180;
34;7;哥布林卡片;385;2;240;4;1;400;01240;
34;8;哥布林卡片;385;2;360;4;1;400;01360;
34;9;哥布林卡片;385;2;480;4;1;400;01480;
34;10;逃走的木乃伊卡片;384;15;10;1;1;100;02010;
34;11;逃走的木乃伊卡片;384;15;20;2;1;200;02020;
34;12;逃走的木乃伊卡片;384;15;30;3;1;300;02030;
34;13;逃走的木乃伊卡片;385;15;40;4;1;400;02040;
