0;17;0;0;綠草;0;1;0;
1;18;0;0;紅草;0;1;0;
2;19;0;0;紅花草;0;1;0;
3;40;0;0;據點石;0;1;0;
4;10;2;19;幸福的巴風特;1;1;4;
5;0;0;0;波利;1;1;1;
6;0;0;13;眼鏡波利;1;2;1;
7;1;0;0;瘋兔;1;3;3;
8;1;0;2;紅鼻子瘋兔;1;4;2;
9;2;0;0;蘑菇;1;5;2;
10;11;1;5;波利王;1;5;2;
11;2;0;14;繃帶蘑菇;1;6;2;
12;3;0;20;走動的花;1;7;2;
13;1;0;3;瘋兔守衛;1;7;3;
14;0;0;6;紫蝶波利;1;8;2;
15;12;1;0;藍瘋兔;1;8;3;
16;12;0;16;月兔;1;9;2;
17;2;0;4;咬花蘑菇;1;10;2;
18;8;0;0;天使波利;1;10;2;
19;4;2;0;狼;1;11;3;
20;3;0;15;食人花;1;12;2;
21;5;2;0;大腳熊;1;13;2;
22;4;2;0;飢餓的狼;1;14;3;
23;2;0;8;菸鬼蘑菇;1;15;2;
24;5;2;1;蜂蜜熊;1;16;2;
25;6;1;0;獸人戰士;1;17;2;
26;4;2;0;馴狼;1;18;3;
27;6;1;9;獸人狂戰士;1;19;2;
28;7;2;0;巨木魔像;1;20;2;
29;5;2;12;巨掌熊;1;21;2;
30;3;0;0;噬人花;1;22;2;
31;5;2;11;熊王;1;23;2;
32;15;1;0;巨獸人;1;24;2;
33;7;2;8;菸鬼巨木魔像;1;25;2;
34;20;0;0;蒼蠅;1;26;3;
35;21;1;0;青蛇;1;27;3;
36;22;1;0;摩卡;1;28;2;
37;23;1;0;蠍子;1;29;3;
38;16;2;0;獸人英雄;1;30;3;
39;4;2;0;傳奇狼;1;31;3;
40;22;1;4;咬花摩卡;1;31;2;
41;5;2;19;傳奇大腳熊;1;32;2;
42;7;2;19;傳奇巨石魔像;1;32;2;
43;6;1;19;傳奇獸人;1;33;3;
44;14;0;0;小惡魔;1;34;3;
45;15;1;23;傳奇巨獸人;1;35;3;
46;16;2;1;真獸人英雄;1;36;3;
47;10;2;19;幸福的巴風特;1;37;4;
48;9;0;0;褐方體惡魔;1;38;2;
49;13;1;17;鐮刀手;1;38;3;
50;10;2;0;巴風特;1;41;4;
51;0;0;0;波利;2;2;2;
52;0;0;13;眼鏡波利;2;3;2;
53;1;0;0;瘋兔;2;4;3;
54;1;0;2;紅鼻子瘋兔;2;5;2;
55;2;0;0;蘑菇;2;6;2;
56;11;1;5;波利王;2;6;2;
57;2;0;14;繃帶蘑菇;2;7;2;
58;3;0;20;走動的花;2;8;2;
59;1;0;3;瘋兔守衛;2;8;3;
60;0;0;6;紫蝶波利;2;9;2;
61;12;1;0;藍瘋兔;2;9;3;
62;12;0;16;月兔;2;10;2;
63;2;0;4;咬花蘑菇;2;11;2;
64;8;0;0;天使波利;2;11;2;
65;4;2;0;狼;2;12;3;
66;3;0;15;食人花;2;13;2;
67;5;2;0;大腳熊;2;14;2;
68;4;2;0;飢餓的狼;2;15;3;
69;2;0;8;菸鬼蘑菇;2;16;2;
70;5;2;1;蜂蜜熊;2;17;2;
71;6;1;0;獸人戰士;2;18;2;
72;4;2;0;馴狼;2;19;3;
73;6;1;9;獸人狂戰士;2;20;2;
74;7;2;0;巨木魔像;2;21;2;
75;5;2;12;巨掌熊;2;22;2;
76;3;0;0;噬人花;2;23;2;
77;5;2;11;熊王;2;24;2;
78;15;1;0;巨獸人;2;25;3;
79;7;2;8;菸鬼巨木魔像;2;26;2;
80;20;0;0;蒼蠅;2;27;3;
81;21;1;0;青蛇;2;28;3;
82;22;1;0;摩卡;2;29;2;
83;23;1;0;蠍子;2;30;3;
84;16;2;0;獸人英雄;2;31;3;
85;4;2;0;傳奇狼;2;32;3;
86;22;1;4;咬花摩卡;2;32;2;
87;5;2;19;傳奇大腳熊;2;33;3;
88;7;2;19;傳奇巨石魔像;2;33;2;
89;6;1;19;傳奇獸人;2;34;3;
90;14;0;0;小惡魔;2;35;3;
91;15;1;23;傳奇巨獸人;2;36;3;
92;16;2;1;真獸人英雄;2;37;3;
93;10;2;19;幸福的巴風特;2;38;4;
94;9;0;0;褐方體惡魔;2;39;3;
95;13;1;17;鐮刀手;2;39;3;
96;10;2;0;巴風特;2;42;4;
97;0;0;0;波利;3;3;2;
98;0;0;13;眼鏡波利;3;4;2;
99;1;0;0;瘋兔;3;5;3;
100;1;0;2;紅鼻子瘋兔;3;6;2;
101;2;0;0;蘑菇;3;7;2;
102;11;1;5;波利王;3;7;2;
103;2;0;14;繃帶蘑菇;3;8;2;
104;3;0;20;走動的花;3;9;2;
105;1;0;3;瘋兔守衛;3;9;3;
106;0;0;6;紫蝶波利;3;10;2;
107;12;1;0;藍瘋兔;3;10;3;
108;12;0;16;月兔;3;11;2;
109;2;0;4;咬花蘑菇;3;12;2;
110;8;0;0;天使波利;3;12;2;
111;4;2;0;狼;3;13;3;
112;3;0;15;食人花;3;14;2;
113;5;2;0;大腳熊;3;15;2;
114;4;2;0;飢餓的狼;3;16;3;
115;2;0;8;菸鬼蘑菇;3;17;2;
116;5;2;1;蜂蜜熊;3;18;2;
117;6;1;0;獸人戰士;3;19;2;
118;4;2;0;馴狼;3;20;3;
119;6;1;9;獸人狂戰士;3;21;2;
120;7;2;0;巨木魔像;3;22;2;
121;5;2;12;巨掌熊;3;23;2;
122;3;0;0;噬人花;3;24;2;
123;5;2;11;熊王;3;25;2;
124;15;1;0;巨獸人;3;26;3;
125;7;2;8;菸鬼巨木魔像;3;27;2;
126;20;0;0;蒼蠅;3;28;3;
127;21;1;0;青蛇;3;29;3;
128;22;1;0;摩卡;3;30;2;
129;23;1;0;蠍子;3;31;3;
130;16;2;0;獸人英雄;3;32;3;
131;4;2;0;傳奇狼;3;33;3;
132;22;1;4;咬花摩卡;3;33;2;
133;5;2;19;傳奇大腳熊;3;34;3;
134;7;2;19;傳奇巨石魔像;3;34;3;
135;6;1;19;傳奇獸人;3;35;3;
136;14;0;0;小惡魔;3;36;3;
137;15;1;23;傳說級獸人;3;37;3;
138;16;2;1;真獸人英雄;3;38;3;
139;10;2;19;幸福的巴風特;3;39;4;
140;9;0;0;褐方體惡魔;3;40;3;
141;13;1;17;鐮刀手;3;40;3;
142;10;2;0;巴風特;3;43;4;
143;0;0;0;波利;4;5;3;
144;0;0;13;眼鏡波利;4;6;3;
145;1;0;0;瘋兔;4;7;3;
146;1;0;2;紅鼻子瘋兔;4;8;2;
147;2;0;0;蘑菇;4;9;2;
148;11;1;5;波利王;4;9;3;
149;2;0;14;繃帶蘑菇;4;10;2;
150;3;0;20;走動的花;4;11;1;
151;1;0;3;瘋兔守衛;4;11;3;
152;0;0;6;紫蝶波利;4;12;3;
153;12;1;0;藍瘋兔;4;12;3;
154;12;0;16;月兔;4;13;3;
155;2;0;4;咬花蘑菇;4;14;2;
156;8;0;0;天使波利;4;14;3;
157;4;2;0;狼;4;15;3;
158;3;0;15;食人花;4;16;2;
159;5;2;0;大腳熊;4;17;2;
160;4;2;0;飢餓的狼;4;18;3;
161;2;0;8;菸鬼蘑菇;4;19;2;
162;5;2;1;蜂蜜熊;4;20;2;
163;6;1;0;獸人戰士;4;21;2;
164;4;2;0;馴狼;4;22;3;
165;6;1;9;獸人狂戰士;4;23;2;
166;7;2;0;巨木魔像;4;24;2;
167;5;2;12;巨掌熊;4;25;3;
168;3;0;0;噬人花;4;26;2;
169;5;2;11;熊王;4;27;2;
170;15;1;0;巨獸人;4;28;3;
171;7;2;8;菸鬼巨木魔像;4;29;2;
172;20;0;0;蒼蠅;4;30;3;
173;21;1;0;青蛇;4;31;3;
174;22;1;0;摩卡;4;32;2;
175;23;1;0;蠍子;4;33;3;
176;16;2;0;獸人英雄;4;34;3;
177;4;2;0;傳奇狼;4;35;3;
178;22;1;4;咬花摩卡;4;35;2;
179;5;2;19;傳奇大腳熊;4;36;2;
180;7;2;19;傳奇巨石魔像;4;36;3;
181;6;1;19;傳奇獸人;4;37;3;
182;14;0;0;小惡魔;4;38;3;
183;15;1;23;傳說級獸人;4;39;3;
184;16;2;1;真獸人英雄;4;40;3;
185;10;2;19;幸福的巴風特;4;41;4;
186;9;0;0;褐方體惡魔;4;42;3;
187;13;1;17;鐮刀手;4;42;3;
188;10;2;0;巴風特;4;45;4;
189;0;0;0;波利;5;6;3;
190;0;0;13;眼鏡波利;5;7;3;
191;1;0;0;瘋兔;5;8;4;
192;1;0;2;紅鼻子瘋兔;5;9;3;
193;2;0;0;蘑菇;5;10;3;
194;11;1;5;波利王;5;10;2;
195;2;0;14;繃帶蘑菇;5;11;3;
196;3;0;20;走動的花;5;12;1;
197;1;0;3;瘋兔守衛;5;12;4;
