16;
0;2;4;9;10;13;15;18;20;21;23;24;27;29;31;33;

36;
0;0;27;24;
28;0;24;18;

52;0;40;26;
92;0;40;26;

132;0;28;32;
160;0;26;36;
186;0;24;40;
210;0;28;28;
238;0;28;30;

266;0;8;14;

274;0;16;20;
290;0;16;20;
306;0;16;20;

322;0;18;24;
340;0;18;12;

358;0;18;8;
376;0;18;6;
394;0;18;8;

0;40;16;8;
16;40;16;14;

32;40;12;10;

44;40;32;22;
76;40;32;22;

108;40;6;6;

114;40;18;20;
132;40;20;16;
152;40;18;14;

170;40;12;10;
182;40;12;12;

194;40;16;14;
210;40;22;18;

232;40;28;30;
260;40;42;38;

302;40;18;10;
320;40;26;24;
346;40;38;24;
