13;0;藍色魔力礦石;182;900;1;使用魔法時，巫師代替受到魔法的反作用倒下。;
13;1;強化武器金屬-等級一;183;800;1;用於煉制等級1武器的礦石。;
13;2;強化武器金屬-等級二;184;1400;1;用於煉制等級2武器的礦石。;
13;3;神之金屬原石;185;150;1;提煉原石，可以製作神之金屬。;
13;4;神之金屬;186;2000;1;用於煉制等級3~4武器的礦石。;
13;5;濃縮神之金屬;187;1560;1;煉制武器時一起使用，可提高成功率。;
13;6;鋁原石;188;150;1;提煉原石，可以製作鋁。;
13;7;鋁;189;2000;1;用於煉制防具的礦石。;
13;8;濃縮鋁;190;1560;1;煉制防具時一起使用，可提高成功率。;
13;9;超精密精煉工具;199;1560;1;鍛造裝備時，防止道具遭到破壞。;
13;10;保險證明;200;0;0;死亡時，無經驗值損失。;
13;11;齊格弗裡德的信物;201;0;0;死亡時在死亡地點復活。;
13;12;風格優惠券;202;0;0;此道具能改變穿著與髮型。(聲望點數購入，無法交易);
13;13;傑勒比結晶;243;50;1;看起來非常堅硬，但不知道應該用在哪裡。;
13;14;柔毛;226;210;1;看上去非常柔毛。想一直拿在手裡。;
13;15;蘑菇孢子;232;165;1;從菌類植物中產生出的孢子。帶著孢子四處移動。;
13;16;野生草;215;250;1;生機勃勃的野生草。種到地下就可以立刻生長出來。;
13;17;布丁果凍;230;300;1;軟軟的神奇果凍。想咬上一口，但感覺有些不舒服。;
13;18;動物皮毛;233;396;1;動物的皮毛碎片。積欑一些後可以製作各種東西。;
13;19;熊腳掌;244;450;1;熊的腳掌。聽說別有一番風味。;
13;20;木塊;246;450;1;樹木的小碎片。好像可以作為柴火使用。;
13;21;堅硬的木塊;246;400;1;樹木的小碎片。非常堅硬，難以切開。;
13;22;乾枯的木塊;246;400;1;樹木的小碎片。想用它生篝火。;
13;23;獸人之牙;238;450;1;獸人掉落的牙齒。發出奇怪的味道。;
13;24;熊手掌;244;550;1;熊的手掌。聽說別有一番風味。;
13;25;堅實的外殼;247;556;1;怪物的堅硬外皮。感覺用處很多。;
13;26;非常堅硬的外殼;247;605;1;切割怪物的外皮時找出的非常堅硬，難以切割的部分。;
13;27;毒牙;239;668;1;浸有毒液的牙。刺到手上會非常危險，需要特別小心。;
13;28;劇毒牙;239;785;1;浸有毒液的牙。刺到手上會非常危險，需要特別小心。;
13;29;尖針;248;790;1;保護仙人掌的尖刺。;
13;30;非常尖的針;248;795;1;保護仙人掌的尖刺。;
13;31;蠍子的尾巴;252;856;1;蠍子的尾部，有時可作為藥材使用。;
13;32;珍稀的蠍子尾巴;252;866;1;蠍子的尾部，有時可作為藥材使用。;
13;33;碎沙粉末;251;891;1;只在特定怪物身上發現的神奇碎沙粉末。;
13;34;黃晶沙;251;923;1;只在特定怪物身上發現的神奇碎沙粉末。;
13;35;聚集的卵;249;956;1;怪物的卵。全部孵化後會出來多少怪物呢？;
