0;離開;-1;-1;
1;說明;-1;-1;
2;重生點設定;-1;-1;
3;倉庫出租/服務;-1;-1;
4;倉庫擴充;-1;-1;
5;物品出售;-1;-1;
6;道具販售;-1;-1;
7;武器販售;-1;-1;
8;防具販售;-1;-1;
9;背包販售;-1;-1;
10;變換造型;-1;-1;
11;說明;-1;-1;
12;說明;-1;-1;
13;冶煉寶石精煉;-1;-1;
14;武器精密鍛造;-1;-1;
15;武器鍛造;-1;-1;
16;防具鍛造;-1;-1;
17;防具精密鍛造;-1;-1;
18;轉職;-1;-1;
19;飾品販售;-1;-1;
20;變換造型;-1;-1;
21;傳送服務;-1;-1;
22;友情誓約;-1;-1;
23;物品登記;-1;-1;
24;物品購買;-1;-1;
25;目錄確認;-1;-1;
26;創建公會;-1;-1;
27;公會管理;-1;-1;
28;劍士道具兌換;-1;-1;
29;魔法師道具兌換;-1;-1;
30;服事道具兌換;-1;-1;
31;盜賊道具兌換;-1;-1;
32;卡片鑲嵌;-1;-1;
33;卡片組合;-1;-1;
34;卡片拔除;-1;-1;
35;迷宮森林;2;-1;
36;副本指南;-1;-1;
37;迷宮故事;-1;-1;
38;生物實驗室傳送;2;6;
39;實驗室故事;-1;-1;
40;戰鬥守則;-1;-1;
41;戰場召喚;-1;-1;
42;第一戰利品倉庫;-1;-1;
43;第二戰利品倉庫;-1;-1;
44;選擇試煉之門;3;12;
45;試煉監獄說明;-1;-1;
46;黑暗階梯;3;12;
47;遺忘之塔說明書;-1;-1;
48;奇科巧克傳送;2;0;
49;巴柏傳送;2;3;
50;夸克傳送;2;2;
51;米諾馬諾傳送;2;4;
52;忘卻修道院傳送;2;5;
53;靈魂墓園傳送;2;7;
54;三日月丘傳送;2;8;
55;沉沒船傳送;2;9;
56;遺跡傳送;2;10;
57;幻影森林傳送;2;11;
58;符文說明;-1;-1;
59;貢獻;-1;-1;
60;購買聲望物品;-1;-1;
61;描述;-1;-1;
62;監獄;-1;-1;
63;購買消費物品;-1;-1;
64;進化;-1;-1;
65;材料組合;-1;-1;
66;製作必須材料;-1;-1;
67;礦石製作;-1;-1;
68;寶石製作;-1;-1;
69;木製作;-1;-1;
70;布製作;-1;-1;
71;武器製作;-1;-1;
72;劍士用武器製作;-1;-1;
73;雙手剣製作;-1;-1;
74;魔法師用武器製作;-1;-1;
75;服事用武器製作;-1;-1;
76;劍士防具製作;-1;-1;
77;魔法師防具製作;-1;-1;
78;服事防具製作;-1;-1;
79;盾製作;-1;-1;
80;胸甲製作;-1;-1;
81;披風製作;-1;-1;
82;靴製作;-1;-1;
83;胸甲製作;-1;-1;
84;披風製作;-1;-1;
85;靴製作;-1;-1;
86;盾製作;-1;-1;
87;胸甲製作;-1;-1;
88;披風製作;-1;-1;
89;靴製作;-1;-1;
90;劍士飾品製作;-1;-1;
91;魔法師飾品製作;-1;-1;
92;服事飾品製作;-1;-1;
93;料理製作;-1;-1;
94;金幣交換;-1;-1;
95;分解項目;-1;-1;
96;特殊製作;-1;-1;
97;臨時;-1;-1;
98;臨時;-1;-1;
99;臨時;-1;-1;
100;排行榜;-1;-1;
101;臨時;-1;-1;
102;活動指導員;-1;-1;
103;深淵初級地下城;-1;-1;
104;深淵中級地下城;-1;-1;
105;深淵公會地下城;-1;-1;
106;深淵地下城說明;-1;-1;
107;瓦爾基里聖地一般戰;-1;-1;
108;瓦爾基里聖地名譽戰;-1;-1;
109;瓦爾基里聖地說明;-1;-1;
110;參加戰場;-1;-1;
120;第1戰利品倉庫;-1;-1;
121;第2戰利品倉庫;-1;-1;
122;郵筒;-1;-1;
130;盜賊用武器製作;-1;-1;
131;盜賊用防具製作;-1;-1;
132;盜賊用飾品製作;-1;-1;
133;胸甲製作;-1;-1;
134;披風製作;-1;-1;
135;靴製作;-1;-1;END;
